first,last,birthday,pick
Brett,Todd,8/14/1962,3
Steven,Day,7/13/1985,4
Tyler,Cook,6/29/1958,2
Harvey,Underwood,7/25/1960,4
Lilly,Kelley,3/19/2002,2
Grace,Ryan,3/10/1986,2
Lulu,Marsh,8/17/1957,3
Zachary,Frank,8/6/1983,3
Hunter,Nunez,11/4/1995,4
Cody,Lewis,3/6/1986,4
Bryan,Casey,2/16/1997,4
Mark,Gill,1/12/1963,4
Estella,Houston,12/13/1969,5
Wesley,Alexander,3/12/1986,3
Viola,Wright,6/5/1989,1
Winnie,Sandoval,7/27/1979,2
Rosetta,Kelly,6/2/1980,5
Brent,Goodman,3/25/1984,5
Clayton,Saunders,5/26/1979,5
Cordelia,Lawrence,1/12/1987,1
Brent,Torres,2/13/1973,2
Nelle,Cobb,10/30/1993,2
Elizabeth,Mills,4/5/1978,1
Nora,Quinn,2/12/1968,5
Myrtie,Perkins,7/8/1974,3
Lillian,Beck,1/22/1983,5
Annie,Hammond,3/5/1961,5
Samuel,Lowe,4/28/1955,2
Ann,Thomas,5/13/1996,4
Amy,French,9/24/1962,2
Bessie,Lindsey,3/25/1963,5
Jose,Scott,7/2/1958,1
Alta,Lloyd,12/25/1962,2
Mina,Campbell,12/1/1998,2
Marcus,Boyd,4/18/1968,5
Daniel,Mendez,10/14/2000,1
Isabella,Lawson,2/4/1974,5
Luella,Barnett,12/3/2002,1
Kathryn,Watts,3/17/1982,2
Eugene,Pratt,3/2/1989,2
Nellie,Thomas,9/28/1969,2
Leona,Hawkins,12/10/1962,3
Isabelle,Curtis,12/6/1963,2
Dora,Lloyd,2/13/1984,3
Keith,Hodges,10/10/1969,2
Isabelle,Wright,12/9/2001,5
Stanley,Hughes,10/7/1964,2
Carl,Alexander,6/21/1981,5
Randy,Knight,11/8/1997,1
Ronald,Snyder,1/9/1971,5
Shane,Estrada,12/15/1959,3
Chase,Hansen,6/3/1955,5
Louis,Parsons,12/24/1970,2
Lucile,Rogers,1/31/1983,2
Nathan,Holt,6/19/1979,2
Bernard,Roy,12/16/1975,3
Erik,Floyd,3/24/1982,2
Mamie,Spencer,5/9/1984,3
Genevieve,Berry,7/16/1987,2
Clifford,Warren,9/4/1956,4
Inez,Mendoza,8/28/1970,2
Leon,Klein,2/27/1991,3
Mason,Reed,6/11/1982,1
Benjamin,Nunez,10/21/1972,1
Jeffery,Powers,3/23/1983,2
Rosalie,Johnston,4/7/1962,4
Thomas,Johnston,2/17/1963,3
John,Flowers,12/8/1986,5
Charlotte,Keller,12/22/1959,1
Edna,Torres,9/24/2000,2
Luis,Robertson,12/12/1993,3
Jayden,Porter,8/27/1986,1
Essie,Stone,4/16/1989,4
Minerva,Curtis,7/2/2001,5
Lula,Mendoza,10/4/1978,4
Steve,Franklin,11/26/1969,4
Ella,Soto,11/19/1967,2
Ida,Rodgers,6/25/1977,3
Roger,Salazar,10/29/1988,2
Shane,Sparks,12/11/1987,5
Allie,Barker,8/6/1966,4
Lucas,Jimenez,2/17/1987,4
Leila,Joseph,12/24/1971,4
Lucinda,Flores,6/7/2000,3
Bradley,Pearson,5/2/1969,3
Mabel,McBride,12/2/1982,3
Clifford,King,8/10/1960,4
Julia,Clark,7/9/1997,2
Leon,Mills,12/31/1967,2
Jeanette,Jordan,3/11/1963,2
Kevin,Phelps,7/29/1957,3
Floyd,Casey,6/24/1992,5
Dominic,Clarke,9/21/1976,5
Bernard,Foster,8/25/1979,2
Nicholas,Doyle,11/22/1963,2
Jeanette,Sandoval,12/28/1961,3
Josie,Barton,5/9/1990,2
Emma,Stewart,9/13/1972,4
Jack,Bates,5/1/2000,2
Essie,Goodwin,5/14/1967,3
Rosa,Medina,11/23/1962,2
Richard,Baldwin,4/3/1959,1
Manuel,Buchanan,5/3/1994,5
Owen,Stone,2/13/1973,3
Duane,Williams,10/25/1991,2
William,Fowler,8/3/1964,1
Marian,Gill,2/24/1971,5
Noah,George,1/26/1959,2
Clayton,Baldwin,10/2/1970,2
Jordan,Cummings,8/20/1989,3
Aiden,Greer,8/16/1984,4
Ola,Elliott,2/10/1970,5
Essie,Black,7/5/1971,4
Pauline,Dean,6/27/1965,1
Roy,Murray,7/17/1984,4
Elizabeth,Abbott,4/14/1993,1
Lou,Warren,8/12/1973,2
Wesley,Jacobs,11/2/1977,2
Irene,Castillo,3/6/1967,3
Addie,Gonzalez,12/2/1978,2
Bill,Castillo,10/28/1971,2
Tillie,Barber,3/2/2002,1
Roger,Torres,3/14/1982,4
Madge,George,8/2/1989,1
Kevin,Lamb,1/14/1974,5
Leona,Garcia,7/5/1994,3
Alexander,Gutierrez,1/2/1992,5
Minerva,Lucas,11/13/1982,5
Bradley,Marsh,5/21/1983,1
Elizabeth,Hawkins,6/23/1959,5
Frank,Guzman,2/20/1996,1
Lydia,Vaughn,1/28/1982,2
Edward,Lopez,4/13/1983,5
Arthur,Mason,9/19/1978,4
Myrtle,Walker,8/9/1956,3
Timothy,Carr,5/22/2001,2
Mario,Zimmerman,1/5/1974,5
Cecelia,Burke,10/1/1999,2
Lou,Keller,3/4/1962,5
Inez,Boyd,12/20/1978,5
Eliza,Baker,6/30/1955,3
Andrew,Frank,4/12/1960,4
Winifred,Bell,3/24/1959,2
Alberta,Bowers,2/18/1982,2
Ida,Hamilton,5/31/1968,4
Rena,Holt,10/12/1976,2
Jose,Herrera,8/4/1981,2
Samuel,Floyd,7/30/2000,3
Jack,Mitchell,1/3/1984,5
Ollie,Hall,5/14/1956,2
Leonard,Bowman,1/17/1970,2
Luella,Sparks,3/7/2002,2
Katie,Garner,6/10/1959,4
Steve,Day,2/14/2002,1
Lily,Garza,8/23/1992,3
Matthew,Jennings,8/17/1957,2
Stephen,Freeman,3/4/2000,4
Elsie,Peterson,4/23/2001,3
Anne,Rhodes,3/4/1971,5
Belle,Griffith,10/8/1989,4
Jeanette,Cunningham,2/21/1964,4
Pauline,Barnes,9/16/1980,3
Rosie,Glover,6/1/1986,3
Lucile,Smith,8/9/1962,4
Bettie,Dean,7/18/1971,3
Violet,Turner,1/24/1957,5
Franklin,Reeves,3/8/1967,2
Lester,Garcia,5/7/1988,3
Bernice,Hammond,3/7/1982,5
Flora,Silva,11/7/2000,3
Alejandro,Ferguson,10/19/1993,2
Bertha,Lynch,7/15/1969,5
Della,Harrington,5/2/1969,4
Ethel,Ortiz,7/4/1976,3
Amanda,Watts,8/2/1990,4
Timothy,Castro,1/17/1955,1
Benjamin,Allison,11/20/1982,2
Martha,Davis,6/8/1971,1
Della,Hughes,1/13/1996,4
Barbara,Mack,7/14/1971,4
Herman,Walton,2/9/1979,5
Samuel,Ward,11/19/1968,4
Jimmy,Mathis,9/20/1981,4
Julia,Cortez,6/8/1956,3
Jennie,Chavez,6/5/2002,4
Essie,Rodgers,10/10/1976,3
Esther,Lambert,7/19/1979,5
Daisy,Adams,3/11/1963,5
Amanda,Norris,4/2/1977,4
Joel,Barnett,4/14/1992,4
Mitchell,Perez,9/16/1998,5
Carolyn,Reynolds,11/3/1991,5
Hilda,Medina,10/23/1957,2
Louis,Campbell,6/22/1963,1
Christine,Franklin,12/16/1989,1
Irene,Bishop,2/24/1969,5
Olive,Cummings,6/8/1964,5
Donald,Love,1/19/1972,4
Rachel,Jordan,8/27/1998,5
Emma,Holloway,4/15/1988,2
Clyde,Ramos,4/9/1993,2
Derek,Fleming,10/7/1983,3
Ada,Cummings,3/7/1987,1
Tony,Hunter,3/15/1956,4
Polly,Johnson,10/23/1956,2
Clara,Sharp,5/6/2001,5
Frances,Hamilton,3/8/2001,2
Nina,Bowman,8/3/1983,4
Elizabeth,Greene,2/26/1988,3
Dorothy,Benson,8/13/1974,5
Julian,Santiago,8/4/1997,4
Grace,Ryan,1/13/1963,3
Edgar,Lewis,1/26/1966,2
Glen,McGuire,5/12/1956,1
Mark,Hansen,10/29/1993,3
Marvin,Castro,6/11/1972,1
Mason,Keller,12/15/1998,4
Albert,Holmes,3/4/1972,3
Eric,Stephens,12/29/1988,1
Gene,Wilkins,2/11/1955,2
Minerva,Curry,3/18/1975,2
Benjamin,Washington,4/24/2000,5
Caroline,Ward,8/25/1964,1
Delia,Griffin,10/16/1996,1
Frederick,Bailey,7/18/1962,3
Rebecca,Roberson,12/24/1966,3
Marion,Watson,10/6/1969,3
Jon,Perry,12/3/1985,5
Roxie,Santos,8/31/1955,1
Noah,Reid,6/29/2001,3
Beulah,Hanson,8/8/1978,2
Katharine,Arnold,7/31/1980,1
Virgie,Harrington,2/9/1971,5
Roxie,Phillips,2/27/1986,2
Jon,Holmes,3/10/1973,4
Josephine,Jenkins,12/2/1969,4
